requestId,organizationBlockId,organization,citedCommentId,citedAttachmentOrder,requestCode,requestSummary,originalCitedPages,responseLink,responseGroupId,disposition,codingRationale,conditionalOnRequestId,priorPilotObservationId,requestPdfPages,requestPrintedPages,responseReviewedPdfPages,unit,originalAttachmentRead,docketVersionMatch,docketRateEligible,causalEffect,regulatoryTextChangeAttribution,sourceUrl,sourcePdfSha256,reviewSourceFingerprint,reviewer,reviewDate,independentReviewStatus
s25-allison-error,allison,Allison Transmission Inc.,EPA-HQ-OAR-2022-0985-1657,2,lhd_calculation_error,Correct the alleged errors in five of six proposed LHD vocational standard calculations before finalization.,2,explicit_named_response,s25-allison,disagreed_with_error_claim,The response expressly disagrees that the NPRM contained the alleged error and says the commenter misunderstood the method. A separate collective method revision is not acceptance of this allegation.,,phase3-allison-lhd-error,457,439,462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-carb-multipurpose,carb,California Air Resources Board (CARB),EPA-HQ-OAR-2022-0985-1591,1,require_ci_multipurpose_for_engineless_vehicles,"Specify that vehicles without an installed propulsion engine use CI Multi-Purpose standards, rather than urban or regional standards.",37,section_resolution_only,s25-collective-vocational,inconsistent_with_described_resolution,"CARB appears in the reproduced blocks but is not named in the section summary. The shared response retains CI certification while permitting appropriate urban, regional or multi-purpose categorization, contrary to the requested Multi-Purpose-only limitation. This is not coded as an explicit rejection of CARB.",,,457;458,439;440,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-china-method,china,China WTO/TBT National Notification & Enquiry Center,EPA-HQ-OAR-2022-0985-1658,2,explain_table_ii19_method_and_sources,Clarify the calculation method and sources of the proposed 2027-2032 vocational CO2 standard values in Table II-19.,3,no_request_specific_disposition,,no_request_specific_disposition,The named response explains international comparability limits but does not reconstruct the requested proposed table or identify its input sources. The shared discussion describes a revised final method and points to the RIA; it is not treated as a verified complete answer to this distinct proposed-table question.,,,458,440,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-china-comparison,china,China WTO/TBT National Notification & Enquiry Center,EPA-HQ-OAR-2022-0985-1658,2,explain_international_comparability,Explain whether differences between the proposed calculated standards and cited international methods or values are reasonable.,3-4,explicit_named_response,s25-china,explained_comparability_limit,"EPA names China WTO and explains that payload, test weight, aerodynamic assumptions and drive cycles affect numerical CO2 values. This is a qualitative comparability explanation, not a numerical reconciliation or endorsement of the comment's international-standard premise.",,,458,440,462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-cummins-tractors,cummins,Cummins Inc.,EPA-HQ-OAR-2022-0985-1598,1,tractor_credit_scope,Clarify that the CO2 credit equation applies to tractors as well as vocational vehicles.,9-10,explicit_named_response,s25-cummins,clarified_existing_scope,EPA names Cummins and confirms continued tractor credit eligibility. The proposed vocational reference was not intended to exclude tractors; this is clarification rather than newly granted eligibility.,,phase3-cummins-tractor-credit,458,440,462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-dtna-subcategory,dtna,Daimler Truck North America LLC (DTNA),EPA-HQ-OAR-2022-0985-1555,1,allow_engineering_judgment_subcategory,Allow manufacturers to use engineering judgment to choose an appropriate ZEV regulatory subcategory based on the vehicle replaced.,76;167-168,named_summary_collective_response,s25-collective-vocational,consistent_with_collective_revision,"EPA names DTNA's engineering-judgment request in its summary and describes retaining appropriate urban, regional or multi-purpose certification. Repeated request wording and cross-references within this block are collapsed. Agreement in direction is not an individual effect or proof that every requested flexibility was adopted.",,,458;459,440;441,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-dtna-averaging,dtna,Daimler Truck North America LLC (DTNA),EPA-HQ-OAR-2022-0985-1555,1,remove_zev_averaging_set_limits,Exempt ZEV-generated ABT credits from the averaging-set limitations in 40 CFR 1037.740.,167-168,no_request_specific_disposition,,no_request_specific_disposition,The excerpt contains this distinct request in DTNA's answer to EPA request 53. Section 2.5's response does not separately resolve the averaging-set exemption. Other response sections and the original letter's referenced sections were not reviewed for this request.,,,459,441,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-paccar-subcategory,paccar,"PACCAR, Inc.",EPA-HQ-OAR-2022-0985-1607,1,retain_intended_use_subcategory,Continue allowing ZEV credit calculation in any appropriate vocational subcategory according to intended use instead of requiring Multi-Purpose categorization.,11-12,named_summary_collective_response,s25-collective-vocational,consistent_with_collective_revision,"EPA names PACCAR's intended-use and lead-time concerns in its summary and describes not finalizing the common-reference approach. This is shared policy-direction consistency, not an individually identified effect.",,,459;460,441;442,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-paccar-delay,paccar,"PACCAR, Inc.",EPA-HQ-OAR-2022-0985-1607,1,conditional_delay_to_my2030,"If EPA nevertheless requires Multi-Purpose categorization, defer implementation until at least MY2030.",11-12,no_request_specific_disposition,s25-collective-vocational,conditional_fallback_not_separately_resolved,EPA summarizes the requested delay but says it is not finalizing the common-reference approach that triggers this fallback. The section does not separately adopt MY2030. The fallback must not be counted as an unconditional delay request or a second successful reform change.,s25-paccar-subcategory,,460,442,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
s25-volvo-method,volvo,Volvo Group,EPA-HQ-OAR-2022-0985-1606,1,reevaluate_vocational_standard_setting,Re-evaluate the vocational stringency-setting procedure because common absolute reductions have different consequences across manufacturers' vehicle mixes.,17-20,named_summary_collective_response,s25-collective-vocational,consistent_with_collective_revision,"EPA summarizes Volvo's standard-setting concern and describes changing to a tractor-like method after considering comments. The request and shared revision align in direction, without establishing that Volvo caused the revision or validating the numerical examples in the excerpt.",,,460;461,442;443,461;462,distinct_request_within_agency_selected_section,false,not_established,false,not_identified,not_established,https://www.epa.gov/system/files/documents/2024-03/420r24007.pdf,4ce468a6ea85ede970b8189dab82b0ab5112692abcc1f684a585f563b6b4ab8e,eda650c80e7259cf7ba6b0bc1d3a54696d4fbf3a9635549f368df043fe775ab7,codex-source-review,2026-09-12,pending
